department,""city"",""communitytype"",""name"",""latitude"",""longitude""
01,""LA CHAPELLE DU CHATELARD"",""Groupement paroissial"",""Notre-Dame de l'Assomption"",46.06921150,5.02411560
01,""LA-CHAPELLE-DU-CHATELARD"",""Groupement paroissial"",""Notre-Dame de Beaumont"",46.04917353,5.03582624
01,""LA TRANCLIERE"",""Groupement paroissial"",""Saint Jean-Baptiste"",46.11106256,5.26187093
01,""LABALME"",""Groupement paroissial"",""Saint Amand"",46.09107900,5.48124500
01,""RIGNIEU-LE-DESERT"",""Groupement paroissial"",""Saint André"",0.00000000,0.00000000
01,""LAGNIEU"",""Paroisse"",""Saint Hilaire"",45.86476600,5.32099500
01,""LAGNIEU"",""Groupement paroissial"",""Saint Jean-Baptiste"",45.90386100,5.34809600
01,""LAIZ"",""Groupement paroissial"",""Saint Laurent"",46.24581405,4.89198624
01,""LALLEYRIAT"",""Groupement paroissial"",""Saint Blaise"",46.15334160,5.71329650
01,""LANCRANS"",""Groupement paroissial"",""Saint Amand"",46.12474387,5.83349700
01,""LANTENAY"",""Groupement paroissial"",""Notre-Dame de l'Assomption"",46.05784699,5.54409092
01,""LAPEYROUSE"",""Groupement paroissial"",""Saint Romain"",45.98247020,4.97542750
01,""LAVOURS"",""Groupement paroissial"",""Saint Pierre"",45.80982438,5.77071572
01,""LE GRAND ABERGEMENT"",""Groupement paroissial"",""Notre-Dame de Retord (Chapelle de Retord)"",46.09322948,5.70688008
01,""LE GRAND ABERGEMENT"",""Groupement paroissial"",""Saint Armand (Eglise du Grand Abergement)"",46.03428607,5.67485227
01,""LE MONTELLIER"",""Groupement paroissial"",""Sainte Madeleine"",45.92999070,5.07266660
01,""LE PETIT ABERGEMENT"",""Groupement paroissial"",""Saint Etienne"",46.03146080,5.66593760
01,""LE PLANTAY"",""Communauté religieuse"",""Notre-Dame des Dombes (Abbaye des Dombes)"",46.02095300,5.08926800
01,""LE PLANTAY"",""Groupement paroissial"",""Saint Pierre"",46.02212680,5.08915200
01,""LE POIZAT"",""Groupement paroissial"",""Saint Felix"",46.14461210,5.69556980
01,""LEAZ"",""Groupement paroissial"",""Saint Amand"",46.09837491,5.88449251
01,""LELEX"",""Groupement paroissial"",""Saint Michel"",46.30505301,5.94417924
01,""LENT"",""Groupement paroissial"",""Saint Germain"",46.11977390,5.19670038
01,""LES ECHETS"",""Groupement paroissial"",""Saint Jean-Marie Vianney (Chapelle des Echets)"",45.86913595,4.90875896
01,""LES NEYROLLES"",""Groupement paroissial"",""Saint Clair"",46.13990400,5.63366600
01,""LESCHEROUX"",""Groupement paroissial"",""Saint André"",46.40716324,5.14417876
01,""LEYMENT"",""Groupement paroissial"",""Saint Jean-Baptiste"",45.92345890,5.29631618
